title,authors,editors,tm,type,publisher,isbn,abstract,year,department,pdf_path,external_link,citation,keyword,status,restricted
Lowcost protected cultivation enhancing yearround production of highvalue vegetables in the Philippines,"Z.C. Gonzaga, O.B. Capuno, M.B. Loreto, R.G. Gerona, L.M. Borines, A.T. Tulin, J.S. Mangmang, D.C. Lusanta, H.B. Dimabuyu and G.S. Rogers",,P,Conference,"1Visayas State University, Visca, Baybay City, 6521 Leyte, Philippines; 2University of Sydney, Faculty of Agriculture and Environment, University of Sydney, Sydney, New South Wales 2006, Australia; 3Applied Horticultural Research, Suite 352 Biomedical Building, 1 Central Avenue, Eveleigh, New South Wales 2015, Australia",,,2013,None,,,"Gonzaga, Z., Capuno, L., & Gerona, L. (2013, January). Low cost protected cultivation: Enhancing year-round production of high value vegetables in the Philippines. Paper presented at the ACIAR-PCAARRD Southern Philippines Fruits and Vegetables Program Meeting: Smallholder HOPES - horticulture, people, and soil.https://www.researchgate.net/publication/320164758_Low_cost_protected_cultivation_Enhancing_year_round_production_of_high_value_vegetables_in_Philippines","Protected cropping, house-type, igloo type, vegetables",0,0
Consumption pattern for fruits and vegetables of some Filipino adolescents in selected public schools in the City of Manila,"Josefina Taguinod Gonzales, Joop Van Raaij, and Zenaida Villamin Narciso",,NP,Journal,"1Food and Nutrition Research Institute, Sta. Rosa City, Laguna, Philippines; 2Wageningen University & Research Center, The Netherlands; 3Food Nutrition Research Institute, Dost Compound General Santos Ave, Taguig, Metro Manila, Philippines",,"The study aimed to: (a) determine perceptions regarding fruits and vegetables (b) identify selected practices on fruit and vegetables consumption (c) assess consumption of fruit and vegetables in terms of serving and grams per day and (d) identify factors affecting fruit and vegetable consumption. The study was conducted in seven randomly selected public schools and three public colleges in the City of Manila. Two hundred randomly selected students aged 12-16 years and 17-20 years were personally interviewed using a structured questionnaire. A food frequency questionnaire was used to determine the past month's fruit and vegetable consumption. Data were analysed using the Statistical Package for the Social Sciences (SPSS). Descriptive statistics, like frequencies, means and
percentages, ANOVA, T-test and simple correlation were used. Results showed that inadequate consumption of vegetables was prevalent among the study populations but fruit intake was higher than the Philippine recommendation. Fruit and vegetable intakes varied with age and sex. Male adolescents consumed more vegetables compared to their female counterparts. Female adolescents consumed more fruits than their male counterparts. Generally, the adolescents had a good perception of fruits and vegetables. The study concluded that Filipino adolescents are consuming substantially fewer servings of vegetables than the recommended daily
allowances but fruit intake was higher than the recommended. The study advanced recommendations useful for promoting fruit and vegetable consumption among adolescents and for future studies focused on nutritional behaviour change related to fruit and vegetable consumption among adolescent.",2016,None,,https://www.walshmedicalmedia.com/open-access/consumption-pattern-for-fruits-and-vegetables-of-some-filipino-adolescents-inselected-public-schools-in-the-city-of-manila-2161-0509-1000202.pdf,"Gonzales, J. T., Van Raaij, J., & Narciso, Z. V. (2016). Consumption pattern for fruits and vegetables of some Filipino adolescents in selected public schools in the City of Manila. Journal of Nutritional Disorders & Therapy, 6(2), Article 202.","Fruit and vegetable consumption, diseases, food intake",0,0
Amaranthus L,"G.J.H. Grubben, G.J.H. (1993). Amaranthus L.. Retrieved August 03, 2018 from http://uses.plantnet-project.org/en/Amaranthus_(PROSEA_Vegetables)",,P,Article,,,,1993,None,,,"Grubben, G.J.H. (1993). Amaranthus L. Retrieved August 03, 2018 from http://uses.plantnet-project.org/en/Amaranthus_(PROSEA_Vegetables)","Amaranthus, distribution, propagation, nutritive value, production practices",0,0
Easy guide to healthy Pinoy meals 2nd edition,Susana Pascual Guerrero,,P,Book,"Center for Culinary Arts-Manila and Culinary Education Foundation, Philippines",,,2007,None,,,"Guerrero, A.P. (2007). Easy guide to healthy Pinoy meals (2nd edition). Natural Quality Corporation.","Vegetables, healthy cooking, renal failure diet",0,0
Antimutagens from Momordica charantia Linn,"Amelia P. Guevara, Clara Y. Lim·Sylianco, Fabian Dayrit, and Paul Finch",,NP,Journal,"1University of the Philippines Diliman; 2Ateneo de Manila University; 3Royal Holloway and Bedford New College, University of London",,"A mixture of antimutagens, 0, were isolated from the ethanol extract of the green fruits of Momordica charantia Linn., locally known as ampalaya, by solvent partitioning and repeated column chromatography. The major component of the mixture, 0', was separated from the minor components hy preparative high pressure liquid chromatography (HPLC). HPLC-pure 0' was shown to be an intractable mixture of 0'-1, as the major component, and 0'-2, as the minor com
ponent. The mixtures 0 and 0' significantly reduced the number of micronucleated polychromatic erythrocytes induced by the well-known mutagen, Mitomycin C. 
At a dosage range of I2.S ug - 50 ug per gram mouse, 0' reduced the mutagenicity of Mitomycin C by 80%. The structures of 0' were elucidated by high-field proton nuclear magnetic resonance spectroscopy (IN NMR), carbon-I 3 nuclear magnetic resonance spec· troscopy (13C NMR), Fourier transform infrared spectroscopy (FTIR), mass spectroscopy (MS), and chemical modification (acetylation, saponification, and mcthanolysis) followed by chromato~raphic and spectral analysis. Spectral and chromatographic data indicated that 0'-1 was 3{)-[6'-opalmitoyl-fl-O-glucosyIJ -stigmasta-S ,2S(27)-dien while 0'-2 was the stearyl 
derivative. Structure-activity correlation studies suggested that the antimutagenic activity may reside in the peculiar lipid-like structure of the acylglucosylsterols 
which may allow them to be absorbed ill the plasma membrane, thereby adversely affecting the membrane permeability towards Mitomycin C.",1989,None,,"https://nast.dost.gov.ph/images/pdf%20files/Publications/NAST%20Transactions/NAST%201989%20Transactions%20Volume%2011/BS%202%20Antimutagens%20from%20Momordica%20Charantia%20Linn,%20Amelia%20P.%20Guevara,%20Clara%20T.%20Lim-Sylianco,%20Fabian%20Dayrit%20and%20Paul%20Finch.pdf","Guevara, A.P., Lim·Sylianco, C.Y., Oayrit, F., Finch, P. (1989). Antimutagens from Momordica charantia Linn. Trans. Nat. Acad. Sci & Tech. (Phifs.) 11:103-112.","Momordica charantia, antimutagenic components, thin layer chromatography, acylglucosylsterols",0,0
Saving the underutilized indigenous crops,Victoriano B. Guiam,,P,Journal,Bureau of Agricultural Research,,,2010,None,,,Guiam VB. 2010. Saving the underutilized indigenous crops. BAR Research and Development Digest 11(3-4).,"Biodiversity, plant genetic resources, vegetables, seed banks",0,0
Abelmoschus manihot,: A.M. Gurnah,,P,Article,,,,1993,None,,,Gurnah AM. 1993. Abelmoschus manihot. Retrieved from http://uses.plantnet-project.org/en/Abelmoschus_manihot_(PROSEA),"Abelmoschus medikus, Aibika, nutritive value",0,0
Momordica charantia,N.H. Hien and S.H. Widodo,,P,Book,,,,1993,None,,,"Hien, N.H. and Widodo, S.H. (1993). Momordica charantia.",,0,0
Indigenous vegetables,High Value Crops Development Program,,P,Research,,,"HVCDP comprised largely of fruits crops, root crops, vegetables crops and other non-traditional crops. The High Value Crops Development Program (HVCDP) addresses food security, poverty alleviation and sustainable economic growth, empower the high value crops producers through creation of alternative profitable business and livelihood opportunities, increased income to various smallholders and workers, and contribution to national development. Also, concentrating on other food staples/high value crops, the program aims to create a great impact on poverty reduction. It also set and undertakes the following objectives, strategies and interventions to address these issues.",,None,,,"High value Crops Development Program. Indigenous Vegetables. Department of Agriculture.https://easternvisayas.da.gov.ph/national-high-value-crops-program/#:~:text=The%20High%20Value%20Crops%20Development%20Program%20%28HVCDP%29%20addresses,smallholders%20and%20workers%2C%20and%20contribution%20to%20national%20development.","Indigenous vegetables, alugbati, ampalayang ligaw, himbabao, katuray, kulitis, labong, malunggay, pako, saluyot, talinum",0,0
Yield response of yellow gravex Rio Bravo Strain and shallot Batanes Jumbo Strain varietries of onion Allium cepa L applied with different levels of fortified organic based liquid fertilizer,Al Christian R. Hilario,,P,Thesis,"Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro",,,2012,None,,,"Hilario, A..CR. (2012). Yield response of yellow gravex (Rio Bravo Strain) and shallot (Batanes Jumbo Strain) varietries of onion (Allium cepa L.) applied with different levels of fortified organic based liquid fertilizer. Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro (MS Thesis).","Allium cepa, organic fertilizer, Yellow Granex, shallots",0,0
Communitybased vegetable production systems: an answer to the food and sanitation crisis of urban poor in the Philippines,R.J. Holmer,,NP,Conference,Periurban Vegetable Project (PUVeP) Xavier University 9000 Cagayan de Oro City Philippines,,"The Philippines are classified among the world’s fastest urbanizing countries. Among the many challenges of this rapid urbanization process is food security. 20% of Filipinos are regularly suffering from hunger and about one third of all children are underweight with iron deficiency anemia and low vitamin A levels. Average per capita vegetable consumption is very low with 40 kg per year. Further, two thirds of all children suffer from intestinal worms due to lack of water and appropriate sanitation facilities at home and in schools. More than 90% of the waste water is untreated and pollutes the water bodies. As a response, several community-based vegetable production projects were established in Cagayan de Oro City, Southern Philippines since 2003. To date, more than 100 poor families are growing vegetables in2community and school-based allotment gardens on family parcels of a size of 300 m each. About 75% of the produce is being sold to outside customers while the remaining 25% are used for own consumption or school-feeding programs. This enabled the participating families to increase their monthly income by about 20%. Each garden is equipped with a compost heap for biodegradable wastes, thus contributing to the local government’s solid waste management program. Further, all gardens are equipped with urine-diverting dehydration toilets which improve the sanitary conditions of the area. The allotment gardens strenghten the community by providing a place where people can meet and enjoy spending quality time with their families and friends in a clean and quiet natural environment.",2010,None,,https://www.researchgate.net/publication/272678244_Community-Based_Vegetable_Production_Systems_An_Answer_to_the_Food_and_Sanitation_Crisis_of_Urban_Poor_in_the_Philippines,"Holmer, R.J. (2010). Community-based vegetable production systems: an answer to the food and sanitation crisis of urban poor in the Philippines. Proc. Iind Int’l Conf. on Landscape and Urban Hort. Eds.: G. Prosdocimi Gianquinto and F. Orsini Acta Hort. 881, ISHS 2010.","Urban horticulture, allotment gardens, ecological sanitation, food security, poverty alleviation, asset-based community development, environmental management",0,0
Vitamin A and iron consumption and the role of indigenous vegetables: A household level analysis in the Philippines,"Mireille Hönicke, Olivier Ecker , Matin Qaim , Katinka Weinberger",,NP,Research,"1Department of International Agricultural Trade and Food Security, University of Hohenheim; 2World Vegetable Center (AVRDC), Taiwan",,"Micronutrient malnutrition is a public health problem in many regions of the developingworld. Severe vitamin A and iron deficiencies are of particul ar concern due to their highprevalence and their serious, multiple health effects on humans. This paper examines dietarypatterns and nutrient intakes, as well as their socioeconomic determinants among householdsin the Philippines. Since promotion of indigenous vegetables is often considered as an avenueto reduce micronutrient malnutrition, special emphasis is placed on analyzing the contributionof this particular food group to household vitamin A and ir on intakes. We use a sampleconsisting of 172 resource-poor households located in peri-urban areas of Laguna Province. A24-hour food consumption recall allows for deta iled, meal-specific examination of diets.Results of the dietary an alysis suggest that fish is of major importance for vitamin A and ironintakes. But also vegetables, a nd especially indigenous vegetables , play an essential role forbalanced household diets. In order to determ ine socioeconomic factors influencing vitamin Aand iron intakes, we employ an econometric model, which s hows that deficiencies arestrongly associated with low household inco mes and poverty. Thus, poverty alleviation willhelp reduce the problem of micronutrient malnutrition in the medium and long run. However,in the interim, more targeted interventions will be needed. Ou r results suggest that promotionof indigenous vegetables can play a role in this respect, especially among the poor, who canoften not afford sufficient amounts of animal products.",2006,None,,https://www.researchgate.net/publication/29685831_Vitamin_A_and_Iron_Consumption_and_the_role_of_Indigenous_Vegetables_A_Household_Level_Analysis_in_the_Philippines,"Hönicke, M., Ecker, O., Qaim, M., Weinberger, K. (2006). Vitamin A and iron consumption and the role of indigenous vegetables: A household level analysis in the Philippines. Institute of Agricultural Economics and Social Sciences in the Tropics and Subtropics (Ed.), Forschung zur Entwicklungsökonomie und -politik – Research in Development Economics.","Micronutrient malnutrition, vitamin A intake, iron intake, indigenous vegetables, Philippines",0,0
Sweet pregnane glycosides from Telosma procumbens,"Vo Duy Huan, Kazuhiro Ohtani, Ryoji Kasai, Kazuo Yamazaki and Nguyen Viet Tuu",,NP,Journal,"1Institute of Pharmaceutical Sciences, Faculty of Medicine, Hiroshima University, 1–2–3 Kasumi, Minami-ku, Hiroshima 734–8551, Japan; 2Science-Production Union of Ginseng and Medicinal Plants, 41 Dinh Tien Hoang, District 1, Ho Chi Minh City, Vietnam.",,"Telosma procumbens (Hance) MERR. is found in thickets and secondary forests at low altitudes in the Philippines, Vietnam and China. In the Phillipines, an infusion or a decoction of the leaves is used to cleanse or treat wounds, scabies, and ulcers.1) The leaves are also applied to the forehead for the treatment of headache. In Vietnamese folk medicine, the whole plant is used as a substitute for licorice, due to its sweet taste. It is also used as an expectorant and antitussive. However, to date, no chemical studies on the plant have been reported. Our interest in the sweetness of this plant resulted in the finding of sweet pregnane glycosides, which are a new class of intense sweetener from natural sources. The present paper describes the isolation and structural elucidation of eighteen new polyoxyprenane glycosides named telosmosides A1—A18 (1—18).",2001,None,,"https://www.jstage.jst.go.jp/article/cpb/49/4/49_4_453/_pdf/-char/en#:~:text=The%20present%20paper%20describes%20the%20isolation%20and%20structural,fraction%20was%20hydrolyzed%20under%20a%20mild%20acidic%20condition.","Huan, V. D., Ohtani, K., Kasai, R., Yamazaki, K., & Tuu, N. V. (2001). Sweet pregnane glycosides from Telosma procumbens. Chemical and Pharmaceutical Bulletin, 49(4), 453–460.","Telosma procumbens, polyoxypregnane glycoside, sweetener, Asclepiadaceae, telosmoside",0,0
Research and development of underutilized plant species The role of vegetables in assuring food and nutritional security,J.d’A. Hughes and A.W. Ebert,,P,Conference,"AVRDC – The World Vegetable Center PO Box 42, Shanhua Tainan 74199 Chinese Taipei",,"Climate change and population growth in many developing countries impede progress toward achieving food and nutritional security. Production of an expanded range of food crops can reduce risk and enhance food security. Diversified diets, based on a range of crop species, are essential for nutritional security. Vegetables are an excellent source of vitamins and micronutrients; increasing vegetable consumption can help alleviate malnutrition from imbalanced diets wherever it occurs, in developing countries as well as in developed countries. Vegetables are high value cash crops that generate employment and income, and contribute to gender equity and better livelihoods. Many vegetables - indigenous vegetables in particular - have high levels of micronutrients and could significantly contribute to nutritional security if eaten as part of the daily diet. Many indigenous vegetables adapt easily to degraded soils and to drought-prone, flooded, or saline land, and can be more resilient to extreme climatic events. Despite the importance of indigenous vegetables in combating malnutrition and poverty, and despite the wealth of traditional knowledge about these species, many are still poorly studied and understood by the scientific community. AVRDC – The World Vegetable Center conserves a highly diverse collection of indigenous vegetables, and is engaged in multiplying selected lines of a wide range of crops while conserving their genetic resource base. These indigenous vegetables (e.g. African nightshade, Asian and African eggplant, drumstick tree, bitter gourd, water spinach, amaranth, Chinese kale, edible rape, roselle, Malabar spinach, slippery cabbage, winged bean, and many gourd species) are assessed for agronomic, production, postharvest and nutritional characteristics. The best species and lines are promoted, production guidelines are prepared, and food preparation and nutritional guidance is made available to ensure they are adopted and contribute to food and nutritional security.",2013,None,,,"Hughes, Jd’A and Ebert, A.W. (2013). Research and development of underutilized plant species: The role of vegetables in assuring food and nutritional security. Proc. 2nd Int. Symp. on Underutilized Plants Species “Crops for the Future – Beyond Food Security” Eds.: F. Massawe et al. Acta Hort. 979, ISHS 2013.https://www.researchgate.net/publication/255712655_Research_and_development_of_underutilized_plant_species_The_role_of_vegetables_in_assuring_food_and_nutritional_security","Indigenous vegetables, diversified diets, malnutrition, micronutrient sources",0,0
The Nourished Millennium How vegetables put global goals for healthy balanced diets within reach,J.d’A Hughes and J.D.H. Keatinge,,NP,Conference,"AVRDC – The World Vegetable Center PO Box 42, Shanhua, Tainan 74199, Taiwan",,"Those without sufficient food are undernourished and have weakened immune systems; undernourished children may be stunted with impaired cognitive development. More than 70% of malnourished children live in Asia. People unable to consume a balanced diet suffer from micronutrient malnutrition; they may be overnourished, and prone to develop chronic diseases such as anemia, blindness, cardiovascular disease, diabetes and cancer. In Asia and the Pacific, almost 600 million malnourished people add a considerable burden to already overstretched healthcare systems. Many nations adopted the United Nations Millennium Declaration in 2000 and agreed to the time-bound targets (the Millennium Development Goals), yet progress toward these goals 
has been uneven. Some countries in Asia (including Vietnam, Nepal, India, Cambodia, Bangladesh and China) have made significant strides, and Thailand and Sri Lanka have made some progress—however, the challenges to improve child and maternal health and eliminate chronic malnutrition remain, with many rural-urban disparities. Managing global malnutrition is complex, especially with the potential consequences of climate uncertainty and social unrest. While biofortification, food fortification, dietary supplements, and other interventions can improve nutrition, the easiest way to enhance the quality of nutritionally deficient diets is for the poor to grow nutritious foods locally. Vegetables are a key source of micronutrients to improve the health of the malnourished poor, particularly vulnerable women and children. With locally available, high nutrient content vegetables, communities can ensure good nutrition through balanced diets and also increase household incomes. Vegetables such as mungbean, kangkong, moringa, sweet potato leaves and bitter gourd, as well as the more commonly known tomato, onion and cabbage, can provide wholesome and nutritious meals to contribute toward eliminating malnutrition and improving livelihoods amongst the poor.",2012,None,,https://worldveg.tind.io/record/50096/files/eam0421.pdf?version=1,"Hughes Jd’A and Keatinge JDH. 2012. The Nourished Millennium: How vegetables put global goals for healthy, balanced diets within reach. In: Holmer R, Linwattana G, Nath P, Keatinge JDH, eds. 2013. Proceedings of the Regional Symposium on High Value Vegetables in Southeast Asia: Production, Supply and Demand (SEAVEG2012), 24-26 January 2012, Chiang Mai, Thailand. AVRDC – The World Vegetable Center, Publication No. 12-758. AVRDC – The World Vegetable Center, Taiwan.","Malnutrition, vegetables, health, micronutrients, balanced diets",0,0
Development of affordable vegetablebased snack food recipes for grade school and high school students,Maria Clara B. Ignacio Mylene H. Somera Charmaine P. Fider Lucia P. Tabu Aries Glenn L. Montesines,,NP,Thesis,"TESDA Women’s Center, TESDA Complex, East Service Road, South Superhighway, Taguig City.",,"The research was focused on the development of vegetable-based snack recipes using affordable vegetables such as squash, sweet potato and some leafy vegetables as its main ingredients, that would be affordable and acceptable to school children. Acceptability of the products developed was determined by conducting consumer survey with 200 grade school children of the Maharlika Village Elementary School in Taguig City. It is expected that the products developed could provide parents and schools convenient, low cost, healthy options snack foods that could help address problem in malnutrition and nutrient deficiencies. After a series of formulation of different recipes, three (3) recipes were the most acceptable based on food tasting evaluation using the nine-point hedonic scale, namely, vegetable burger (squash bun with mixed vegetable patty), squash tart and sweet potato has brown. The snack food samples with high preference and acceptability were analyzed for its nutritional value. The acceptability and preference of the elementary students were determined through consumer testing of the most preferred snack food samples. Product costing of each of the most preferred snack food samples was computed to determine its affordability and compare the cost with the prices of the snacks sold in school canteen.",2016,None,,"https://twc.tesda.gov.ph/advocacy/researches/12.pdf#:~:text=The%20research%20was%20focused%20on%20the%20development%20of,would%20be%20affordable%20and%20acceptable%20to%20school%20children.","Ignacio, M. C. B., Somera, M. H., Fider, C. P., Tabu, L. P., & Montesines, A. G. L. (2016). Development of affordable vegetable-based snack food recipes for grade school and high school students [Report]. Technical Education and Skills Development Authority (TESDA), TESDA Complex, East Service Road, South Superhighway, Taguig City.","Vegetable snacks, TESDA Women’s Center, Gulayan sa Paaralan",0,0
Integrated community food production A compendium of climateresilient agriculture options,IIRR and NAPC,,P,Book,"1 National Anti-Poverty Commission 2 Climate Change, Agriculture, and Food Security 3 PROLINNOVA 4 The Jewish Federation 5 IRR",,"This compendium provides IIRR a platform to share experiences garnered (mostly) in the Philippines over the past decades in Regenerative Agriculture and Bio-Intensive Gardening and Small Livestock production. The compendium of best practices brings together practical ecologically sound and nutrition-sensitive approaches to improving the productivity of backyard, community and family farms. With the increasing awareness of the importance of safe and healthy diets, there is a resurgence of interest in these complementary pathways to household level food security.",2016,None,,,IIRR and NAPC. 2016. Integrated community food production. A compendium of climate-resilient agriculture options. ISBN 1-930261-42-X.https://iirr.org/docs/integrated-community-food-production-a-compendium-of-climate-resilient-agriculture-options/,"Organic farming, home gardens, indigenous cultivars, nutritive contents",0,0
Inabraw nga alukon Alukon leaves stew,,,P,Article,,,,,None,,,Inabraw nga alukon/Alukon leaves stew. http://pinakbetrepublic.blogspot.com/2010/12/inabraw-nga-alukonalukon-leavesstew.html#ixzz5FvZ7xQ2e.,"Alukon, dinendeng",0,0
Indigenous vegetables,,,P,Research,,,,,None,,,Indigenous vegetables.,"Indigenous vegetables, Alugbati, Ampalayang ligaw, Himbabao, Katuray, Kulitis, Labong, Malunggay, Pako, Saluyot and Talinum",0,0
The Gulayan sa Paaralan School Vegetable Garden in response to sustainable development,Reynaldo B. Inocian and Lory M. Nuneza,,NP,Journal,"1College of Arts and Sciences, Cebu Normal University, Cebu City, Philippines; 2Talamban Elementary School, Talamban, Cebu City, Philippines",,"The demands of our growing population have done much damage to the environment in our quest for food; volumes of waste contribute to environmental risk (Akaateba & Yakubu, 2013). This study aimed to document the best practices of Talamban Elementary School's "" Gulayan sa Paaralan "" in response to sustainable development. The following objectives were raised in order to answer the main problem: (1) determine the TES-GP's challenges and success stories; (2) assess the physical feature of the TES-GP; (3) identify the type of vegetables planted; (4) describe the gardening model used in the TES-GP, and (5) perceive the guidelines for its successful monitoring. The study employed a qualitative approach using phenomenology of Zahavi's pre-reflective self-awareness of experience through interviews of a specific human subject named "" Madam Green "". Personal experiences were categorized into retention, primal impression, and protention, which served as a self-manifestation of her stretched consciousness. An ocular observation of the garden was conducted to validate the interviews made. Data gathered were supplemented with periodic reports and other related studies. The "" Gulayan sa Paaralan "" (GP) was a modest replication of the "" Gulayan ng Masa "" (GM) served as one of the best practices of TES – created a vital contribution for its feeding program.",2015,None,,https://www.researchgate.net/publication/281723263_THE_GULAYAN_SA_PAARALAN_SCHOOL_VEGETABLE_GARDEN_IN_RESPONSE_TO_SUSTAINABLE_DEVELOPMENT,"Inocian, R.B. and Nuneza, L.M. (2015). The “Gulayan sa Paaralan” (School Vegetable Garden) in response to sustainable development. European Scientific Journal 11 (8).","Backyard gardening, “Gulayan ng Paaralan”, organic farming, sustainable development, waste management, stretched consciousness of the flow of time",0,0
Mamamayan halamanan at taniman Panit-pansitan rarely acknowledged weed but an effective medicinal plant,,,P,Article,"Tigaon, Camarines Sur",,"An annual herb, shallow rooted, may reach 40 cm high, with succulent stems. Leaves are alternate, heart-shaped and turgid, as transparent and smooth as candle wax. Tiny dotlike flowers scattered along solitary and leaf-opposed stalk (spike); naked; maturing gradually from the base to the tip; turning brown when ripe. Propagation by seeds. Numerous tiny seeds drop off when mature and grow easily in clumps and groups in damp areas.",2010,None,,https://mahatampc.blogspot.com/2010/01/pansit-pansitan-rarely-acknowledged.html,"Integrated Farm Project in Tigaon, Philippines. Mamamayan, halamanan at taniman – Pansit-pansitan: rarely acknowledged weed but an effective medicinal plant. 2010).Tigaon, Camarines Sur. https://mahatampc.blogspot.com/2010/01/pansit-pansitan-rarely-acknowledged.html","Pansit-pansitan, bioactive compounds, Philippine medicinal plant",0,0
Developed recipes using indigenous vegetables,"International Institute of Rural Reconstruction, Food and Nutrition Research Institute, and Department of Education",,NP,Book,1 International Institute of Rural Reconstruction 2 Department of Education,,"The partnership with Food and Nutrition Research Institute-Department of Science and Technology (FNRI-DOST) allowed International Institute of Rural Reconstruction (IIRR) to move its objective of ensuring utilization of indigenous vegetables planted in the school garden. We have been successful in influencing institutionalization of school gardens in the 1980s and enhanced them through the practice of Bio-intensive gardening, popularly called as BIG. However, we know that access and production 
of vegetables alone are not enough. These have to be utilized not only in schools but also in homes where parents can prepare vegetable dishes for their families, especially their children, in a more appetizing and attractive way.GarNESupp is an integrated approach of gardening, nutrition education and supplementary feeding. It is envisioned to help in reducing school age malnutrition and promotes utilization of local vegetables in school as well as at home.This work of FNRI on menu-cycle development offers solution and fulfils the school gardening and feeding links. We urge the feeding center teachers, as well as the parents to prepare these nutritious and tasty dishes that aim to promote better nutrition of our school children. You will truly love this book! Make it as a partner as you take care of your students and children.",2013,None,,https://schoolnutritionphils.wordpress.com/wp-content/uploads/2014/12/recipe-booklet.pdf,"International Institute of Rural Reconstruction, Food and Nutrition Research Institute, and Department of Education. (2013). Developed recipes using indigenous vegetables. International Institute of Rural Reconstruction ;Department of Education","Indigenous vegetables, recipes, sensory evaluation, 9-point hedonic rating scale",0,0
Kalusugan ng Pamilya Tiyakin Masustansiyang Gulay Ihain Recipe Book,International Institute of Rural Reconstruction,,P,Book,,,,2017,None,,,"International Institute of Rural Reconstruction. (2017). Kalusugan ng Pamilya, Tiyakin Masustansiyang Gulay, Ihain (Recipe Book). International Institute of Rural Reconstruction Km. 39 Y.C. James Yen Center Biga 2, Silang, Cavite 4118, Philippines.","Katutubong gulay, recipes, paraan nang pagluluto",0,0
The biointensive approach to smallscale household food production,International Institute of Rural Reconstruction,,NP,Book,,,"The document summarizes the key characteristics of the bio-intensive approach to small-scale household food production. The approach aims to sustainably produce food through intensive cultivation that mimics natural ecosystems and cycles nutrients. It emphasizes soil improvement, diversified cropping, use of local varieties, and nutrient recycling. Inputs are sourced locally to be renewable and reduce dependence on expensive chemicals. Pest control relies on natural methods like plant diversity and resistant varieties. The bio-intensive approach aims to produce food while protecting environmental and human health.",,None,,https://www.scribd.com/document/130329179/Bio-Intensive-Approach-to-Small-Scale-Household-Food-Production,"International Institute of Rural Reconstruction. The bio-intensive approach to small-scale household food production. International Institute of Rural Reconstruction, Silang Cavite, Philippines.","Traditional or indigenous seeds, neglected vegetables, nutritional content",0,0
The vegetable industry in tropical Asia An overview of production and trade with a focus on Thailand Indonesia the Philippines Vietnam and India,"Greg I. Johnson, Katinka Weinberger, and Mei-huey Wu",,NP,Research,"AVRDC – The World Vegetable Center P.O. Box 42 Shanhua, Tainan 74199 TAIWAN",,"Tropical Asia contains about 30% of the world’s population (UNFPA,2007). Between 1990 and 2001, poverty levels1 in South Asia droppedfrom 39.4% to 29.9%, and the region is on track to reach the MillenniumDevelopment Goal (MDG)2 target of less than 19.7% of the populationliving in poverty by 2015. In Southeast Asia and Oceania, the povertylevel dropped from 19.6% to 10.2%, almost reaching the MDG target forthe region (United Nations, 2005). Despite rising incomes, a substantialportion of the population lives below the poverty line, with those affectedconcentrated in disadvantaged regions and rural areas. How to lift thesedisadvantaged people out of poverty will be a key challenge forpolicymakers in the years to come. Urbanization in tropical Asia is on therise; delivering adequate food supplies to cities while maintaining qualityand reducing losses is another challenge for many countries in Asia’stropics.",2008,None,,"https://www.researchgate.net/publication/52004872_Johnson_GI_Weinberger_K_Wu_MH_2008_The_vegetable_industry_in_tropical_Asia_an_overview_of_proudction_and_trade_with_a_focus_on_Thailand_Indonesia_the_Philippines_Vietnam_and_India#:~:text=The%20Vegetable%20Industry%20in%20Tropical%20Asia%3A%20An%20overview,Vegetable%20Center.%2056%20pp.%20%28Explorations%20series%3B%20no.%201%29.","Johnson, G.I., Weinberger, K., Wu, M.H. (2008). The vegetable industry in tropical Asia: An overview of production and trade, with a focus on Thailand, Indonesia, the Philippines, Vietnam, and India [CD-ROM]. Shanhua, Taiwan: AVRDC – The World Vegetable Center. 56 pp. (Explorations series; no.1).","Vegetable production, vegetable industry, market chain, vegetable consumption",0,0
Ube candy Production,Katherine B. Jose,,P,Thesis,"Mindoro State College of Agriculture and Technology, Main Campus, Alcate, Victoria, Oriental Mindoro",,,2013,None,,,"Jose KB. 2013. Ube candy Production. Mindoro State College of Agriculture and Technology, Main Campus, Alcate, Victoria, Oriental Mindoro. (Undergraduate Thesis).","Ube candy, purple yam, operational performance",0,0
